delta X,delta width (cla),delta volume (cla)
3.100000000000000e-01,1.445523142259597e-01,0.000000000000000e+00
3.200000000000000e-01,1.489125293076055e-01,0.000000000000000e+00
3.300000000000000e-01,1.532562594670797e-01,0.000000000000000e+00
3.400000000000000e-01,1.575836902790224e-01,0.000000000000000e+00
3.500000000000000e-01,1.618950038622251e-01,0.000000000000000e+00
3.600000000000000e-01,1.661903789690600e-01,0.000000000000000e+00
3.700000000000000e-01,1.704699910719625e-01,0.000000000000000e+00
3.800000000000000e-01,1.747340124470729e-01,0.000000000000000e+00
3.900000000000000e-01,1.789826122551594e-01,0.000000000000000e+00
4.000000000000000e-01,1.832159566199230e-01,0.000000000000000e+00
4.100000000000000e-01,1.874342087037915e-01,0.000000000000000e+00
4.200000000000000e-01,1.916375287812984e-01,0.000000000000000e+00
4.300000000000000e-01,1.958260743101397e-01,0.000000000000000e+00
4.400000000000000e-01,2.000000000000000e-01,0.000000000000000e+00
4.500000000000000e-01,2.041594578792296e-01,0.000000000000000e+00
4.600000000000000e-01,2.083045973594573e-01,0.000000000000000e+00
4.700000000000000e-01,2.124355652982139e-01,0.000000000000000e+00
4.800000000000000e-01,2.165525060596438e-01,0.000000000000000e+00
4.900000000000000e-01,2.206555615733703e-01,0.000000000000000e+00
5.000000000000000e-01,2.247448713915889e-01,0.000000000000000e+00
